dialogue_id,fallacy,clip_path,ref_text,whisper_text,wer,ref_len,whisper_len
10_1984,AppealtoEmotion,/workspace/patootie_code/mm_argfallacy/data/MMUSED-fallacy/audio_clips/10_1984/87.wav,And there are other ways of squeezing this budget without constantly picking on our senior citizens and the most vulnerable in American life.,dollars and there are other ways of squeezing this budget without constantly picking on our senior citizens and the most vulnerable in American life.,0.0434782608695652,23,24
10_1984,AppealtoEmotion,/workspace/patootie_code/mm_argfallacy/data/MMUSED-fallacy/audio_clips/10_1984/149.wav,"And you let those people go with the guidelines of overall policy, not looking over their shoulder and nitpicking the manner in which they go at the job.","And you let those people go with the guidelines of overall policy, not looking over their shoulder and nitpicking the manner in which they go at the job.",0.0,28,28
10_1984,AppealtoAuthority,/workspace/patootie_code/mm_argfallacy/data/MMUSED-fallacy/audio_clips/10_1984/146.wav,"In mine, I happen to believe in the people and believe that the people are supposed to be dominant in our society -- that they, not government, are to have control of their own affairs to the greatest extent possible, with an orderly society.","In mine, I happen to believe in the people and believe that the people are supposed to be dominant in our society, that they, not government, are to have control of their own affairs to the greatest extent possible with an orderly society.",0.0,43,43
10_1984,AppealtoEmotion,/workspace/patootie_code/mm_argfallacy/data/MMUSED-fallacy/audio_clips/10_1984/231.wav,That's why faith in the United States is pure and unpolluted by the intervention of politicians.,That's why faith in the United States is pure and unpolluted by the intervention of politicians.,0.0,16,16
10_1984,AppealtoEmotion,/workspace/patootie_code/mm_argfallacy/data/MMUSED-fallacy/audio_clips/10_1984/231.wav,That's why faith in the United States is pure and unpolluted by the intervention of politicians.,That's why faith in the United States is pure and unpolluted by the intervention of politicians.,0.0,16,16
10_1984,AppealtoEmotion,/workspace/patootie_code/mm_argfallacy/data/MMUSED-fallacy/audio_clips/10_1984/297.wav,"They know that these toxic waste dumps should have been cleaned up a long time ago, and they know that people's lives and health are being risked, because we've had an administration that has been totally insensitive to the law and the demand for the protection of the environment.",They know that these toxic waste dumps should have been cleaned up a long time ago. And they know that people's lives and health are being risked because we've had an administration that has been totally insensitive to the law and the demand for the protection of the environment.,0.0,49,49
10_1984,AppealtoEmotion,/workspace/patootie_code/mm_argfallacy/data/MMUSED-fallacy/audio_clips/10_1984/297.wav,"They know that these toxic waste dumps should have been cleaned up a long time ago, and they know that people's lives and health are being risked, because we've had an administration that has been totally insensitive to the law and the demand for the protection of the environment.",They know that these toxic waste dumps should have been cleaned up a long time ago. And they know that people's lives and health are being risked because we've had an administration that has been totally insensitive to the law and the demand for the protection of the environment.,0.0,49,49
10_1984,AppealtoAuthority,/workspace/patootie_code/mm_argfallacy/data/MMUSED-fallacy/audio_clips/10_1984/287.wav,"And when people vote, I think you're going to see a very strong verdict by the American people that they favor the approach that I'm talking about.","And when people vote, I think you're going to see a very strong verdict by the American people that they favor the approach that I'm talking about.",0.0,27,27
10_1984,AppealtoAuthority,/workspace/patootie_code/mm_argfallacy/data/MMUSED-fallacy/audio_clips/10_1984/288.wav,The American people want arms control.,The American people want arms control.,0.0,6,6
10_1984,AppealtoAuthority,/workspace/patootie_code/mm_argfallacy/data/MMUSED-fallacy/audio_clips/10_1984/292.wav,"The American people see this debt, and they know it's got to come down.","The American people see this debt, and they know it's got to come down, and if it won't come down, the economy is going to slow down, maybe go into a recession.",1.2857142857142858,14,32
10_1984,FalseCause,/workspace/patootie_code/mm_argfallacy/data/MMUSED-fallacy/audio_clips/10_1984/341.wav,"Crime has come down the last 2 years, for the first time in many, many decades that it has come down -- or since we've kept records -- 2 consecutive years, and last year it came down the biggest drop in crime that we've had. I think that we've had something to do with that, just as we have with the drug problem nationwide.","crime has come down the last two years for the first time in many, many decades that it has come down or since we've kept records, two consecutive years. And last year it came down the biggest drop in crime that we've had.",0.3387096774193548,62,43
10_1984,AppealtoEmotion,/workspace/patootie_code/mm_argfallacy/data/MMUSED-fallacy/audio_clips/10_1984/392.wav,"In California, sometime ago, a man beat a woman so savagely that her unborn child was born dead with a fractured skull, and the California State Legislature unanimously passed a law that was signed by the then-Democratic Governor -- signed a law that said that any man who so abuses a pregnant woman that he causes the death of her unborn child shall be charged with murder.","In California, some time ago, a man beat a woman so savagely that her unborn child was born dead with a fractured skull. And the California State Legislature unanimously passed a law that was signed by the then Democratic governor, signed a law that said that any man who so abuses a pregnant woman that he causes the death of her unborn child shall be charged with murder.",0.0606060606060606,66,68
10_1984,Slogans,/workspace/patootie_code/mm_argfallacy/data/MMUSED-fallacy/audio_clips/10_1984/383.wav,I have believed that in the appointment of judges that all that was specified in the party platform was that they respect the sanctity of human life.,I have believed that in the appointment of judges that all that was specified in the party platform was that they respect the sanctity of human life.,0.0,27,27
10_1984,AdHominem,/workspace/patootie_code/mm_argfallacy/data/MMUSED-fallacy/audio_clips/10_1984/489.wav,"Well, the other day, Vice President Bush disclosed his tax returns to the American people. He's one of the wealthiest Americans, and he's our Vice President. In 1981 I think he paid about 40 percent in taxes. In 1983, as a result of these tax preferences, he paid a little over 12 percent, 12.8 percent in taxes. That meant that he paid a lower percent in taxes than the janitor who cleaned up his office or the chauffeur who drives him to work.","Well, the other day, Vice President Bush disclosed his tax returns to the American people.",0.8192771084337349,83,15
10_1984,AppealtoEmotion,/workspace/patootie_code/mm_argfallacy/data/MMUSED-fallacy/audio_clips/10_1984/623.wav,"There's another part of the lopsided economy that we're in today, and that is that these heavy deficits have killed exports and are swamping the Nation with cheap imports.",There's another part of the lopsided economy that we're in today. And that is that these heavy deficits have killed exports and are swamping the nation with cheap imports.,0.0,29,29
10_1984,AppealtoEmotion,/workspace/patootie_code/mm_argfallacy/data/MMUSED-fallacy/audio_clips/10_1984/623.wav,"There's another part of the lopsided economy that we're in today, and that is that these heavy deficits have killed exports and are swamping the Nation with cheap imports.",There's another part of the lopsided economy that we're in today. And that is that these heavy deficits have killed exports and are swamping the nation with cheap imports.,0.0,29,29
10_1984,AppealtoEmotion,/workspace/patootie_code/mm_argfallacy/data/MMUSED-fallacy/audio_clips/10_1984/623.wav,"There's another part of the lopsided economy that we're in today, and that is that these heavy deficits have killed exports and are swamping the Nation with cheap imports.",There's another part of the lopsided economy that we're in today. And that is that these heavy deficits have killed exports and are swamping the nation with cheap imports.,0.0,29,29
10_1984,AppealtoEmotion,/workspace/patootie_code/mm_argfallacy/data/MMUSED-fallacy/audio_clips/10_1984/661.wav,It's ruining us in trade.,It's ruining us in trade.,0.0,5,5
